EMP ID,Skill Name,Expert Evaluation,Category
1,Python,,Programming Languages
1,JavaScript,6.0,Web Development
1,SQL,8.0,Database Management
1,Git,7.0,Version Control
1,HTML,6.0,Web Development
2,Python,5.0,Programming Languages
2,JavaScript,6.0,Web Development
2,SQL,7.0,Database Management
2,Git,8.0,Version Control
2,HTML,6.0,Web Development
3,Python,5.0,Programming Languages
3,JavaScript,6.0,Web Development
3,SQL,7.0,Database Management
3,Git,5.0,Version Control
3,HTML,7.0,Web Development
4,Python,8.0,Programming Languages
4,JavaScript,7.0,Web Development
4,SQL,7.0,Database Management
4,Git,7.0,Version Control
4,HTML,7.0,Web Development
5,Python,8.0,Programming Languages
5,JavaScript,9.0,Web Development
5,SQL,8.0,Database Management
5,Git,8.0,Version Control
5,HTML,7.0,Web Development
6,Python,6.0,Programming Languages
6,JavaScript,6.0,Web Development
6,SQL,7.0,Database Management
6,Git,8.0,Version Control
6,HTML,7.0,Web Development
7,Python,7.0,Programming Languages
7,JavaScript,8.0,Web Development
7,SQL,7.0,Database Management
7,Git,5.0,Version Control
7,HTML,5.0,Web Development
8,Python,8.0,Programming Languages
8,JavaScript,7.0,Web Development
8,SQL,8.0,Database Management
8,Git,7.0,Version Control
8,HTML,7.0,Web Development
9,Python,9.0,Programming Languages
9,JavaScript,9.0,Web Development
9,SQL,6.0,Database Management
9,Git,7.0,Version Control
9,HTML,8.0,Web Development
10,Python,7.0,Programming Languages
10,JavaScript,7.0,Web Development
10,SQL,9.0,Database Management
10,Git,7.0,Version Control
10,HTML,7.0,Web Development
11,Python,6.0,Programming Languages
11,JavaScript,7.0,Web Development
11,SQL,8.0,Database Management
11,Git,8.0,Version Control
11,HTML,8.0,Web Development
12,Python,5.0,Programming Languages
12,JavaScript,5.0,Web Development
12,SQL,7.0,Database Management
12,Git,8.0,Version Control
12,HTML,8.0,Web Development
13,Python,8.0,Programming Languages
13,JavaScript,7.0,Web Development
13,SQL,8.0,Database Management
13,Git,9.0,Version Control
13,HTML,7.0,Web Development
14,Python,6.0,Programming Languages
14,JavaScript,7.0,Web Development
14,SQL,6.0,Database Management
14,Git,8.0,Version Control
14,HTML,7.0,Web Development
15,Python,9.0,Programming Languages
15,JavaScript,8.0,Web Development
15,SQL,9.0,Database Management
15,Git,9.0,Version Control
15,HTML,8.0,Web Development
16,Python,8.0,Programming Languages
16,JavaScript,8.0,Web Development
16,SQL,5.0,Database Management
16,Git,7.0,Version Control
16,HTML,6.0,Web Development
17,Python,5.0,Programming Languages
17,JavaScript,5.0,Web Development
17,SQL,8.0,Database Management
17,Git,8.0,Version Control
17,HTML,8.0,Web Development
18,Python,6.0,Programming Languages
18,JavaScript,6.0,Web Development
18,SQL,7.0,Database Management
18,Git,7.0,Version Control
18,HTML,7.0,Web Development
19,Python,7.0,Programming Languages
19,JavaScript,9.0,Web Development
19,SQL,7.0,Database Management
19,Git,8.0,Version Control
19,HTML,7.0,Web Development
20,Python,8.0,Programming Languages
20,JavaScript,7.0,Web Development
20,SQL,7.0,Database Management
20,Git,6.0,Version Control
20,HTML,7.0,Web Development
21,Python,6.0,Programming Languages
21,JavaScript,5.0,Web Development
21,SQL,5.0,Database Management
21,Git,6.0,Version Control
21,HTML,8.0,Web Development
22,Python,9.0,Programming Languages
22,JavaScript,7.0,Web Development
22,SQL,6.0,Database Management
22,Git,9.0,Version Control
22,HTML,8.0,Web Development
23,Python,7.0,Programming Languages
23,JavaScript,7.0,Web Development
23,SQL,5.0,Database Management
23,Git,7.0,Version Control
23,HTML,7.0,Web Development
24,Python,7.0,Programming Languages
24,JavaScript,8.0,Web Development
24,SQL,6.0,Database Management
24,Git,5.0,Version Control
24,HTML,7.0,Web Development
25,Python,8.0,Programming Languages
25,JavaScript,7.0,Web Development
25,SQL,6.0,Database Management
25,Git,8.0,Version Control
25,HTML,7.0,Web Development
26,Python,9.0,Programming Languages
26,JavaScript,8.0,Web Development
26,SQL,5.0,Database Management
26,Git,8.0,Version Control
26,HTML,9.0,Web Development
27,Python,7.0,Programming Languages
27,JavaScript,9.0,Web Development
27,SQL,7.0,Database Management
27,Git,6.0,Version Control
27,HTML,7.0,Web Development
28,Python,7.0,Programming Languages
28,JavaScript,7.0,Web Development
28,SQL,9.0,Database Management
28,Git,8.0,Version Control
28,HTML,8.0,Web Development
29,Python,7.0,Programming Languages
29,JavaScript,8.0,Web Development
29,SQL,9.0,Database Management
29,Git,7.0,Version Control
29,HTML,7.0,Web Development
30,Python,7.0,Programming Languages
30,JavaScript,6.0,Web Development
30,SQL,5.0,Database Management
30,Git,7.0,Version Control
30,HTML,7.0,Web Development
31,Python,7.0,Programming Languages
31,JavaScript,9.0,Web Development
31,SQL,7.0,Database Management
31,Git,9.0,Version Control
31,HTML,7.0,Web Development
32,Python,5.0,Programming Languages
32,JavaScript,8.0,Web Development
32,SQL,7.0,Database Management
32,Git,7.0,Version Control
32,HTML,6.0,Web Development
33,Python,8.0,Programming Languages
33,JavaScript,9.0,Web Development
33,SQL,7.0,Database Management
33,Git,9.0,Version Control
33,HTML,8.0,Web Development
34,Python,5.0,Programming Languages
34,JavaScript,7.0,Web Development
34,SQL,9.0,Database Management
34,Git,7.0,Version Control
34,HTML,7.0,Web Development
35,Python,9.0,Programming Languages
35,JavaScript,8.0,Web Development
35,SQL,7.0,Database Management
35,Git,5.0,Version Control
35,HTML,6.0,Web Development
36,Python,8.0,Programming Languages
36,JavaScript,9.0,Web Development
36,SQL,7.0,Database Management
36,Git,8.0,Version Control
36,HTML,7.0,Web Development
37,Python,5.0,Programming Languages
37,JavaScript,5.0,Web Development
37,SQL,6.0,Database Management
37,Git,6.0,Version Control
37,HTML,9.0,Web Development
38,Python,5.0,Programming Languages
38,JavaScript,7.0,Web Development
38,SQL,5.0,Database Management
38,Git,7.0,Version Control
38,HTML,7.0,Web Development
39,Python,7.0,Programming Languages
39,JavaScript,6.0,Web Development
39,SQL,9.0,Database Management
39,Git,8.0,Version Control
39,HTML,6.0,Web Development
40,Python,9.0,Programming Languages
40,JavaScript,8.0,Web Development
40,SQL,7.0,Database Management
40,Git,7.0,Version Control
40,HTML,9.0,Web Development
41,Python,9.0,Programming Languages
41,JavaScript,8.0,Web Development
41,SQL,9.0,Database Management
41,Git,7.0,Version Control
41,HTML,9.0,Web Development
42,Python,5.0,Programming Languages
42,JavaScript,8.0,Web Development
42,SQL,5.0,Database Management
42,Git,7.0,Version Control
42,HTML,8.0,Web Development
43,Python,8.0,Programming Languages
43,JavaScript,6.0,Web Development
43,SQL,7.0,Database Management
43,Git,9.0,Version Control
43,HTML,8.0,Web Development
44,Python,5.0,Programming Languages
44,JavaScript,7.0,Web Development
44,SQL,9.0,Database Management
44,Git,7.0,Version Control
44,HTML,7.0,Web Development
45,Python,9.0,Programming Languages
45,JavaScript,8.0,Web Development
45,SQL,7.0,Database Management
45,Git,9.0,Version Control
45,HTML,6.0,Web Development
46,Python,8.0,Programming Languages
46,JavaScript,6.0,Web Development
46,SQL,7.0,Database Management
46,Git,8.0,Version Control
46,HTML,5.0,Web Development
47,Python,5.0,Programming Languages
47,JavaScript,7.0,Web Development
47,SQL,9.0,Database Management
47,Git,8.0,Version Control
47,HTML,9.0,Web Development
48,Python,9.0,Programming Languages
48,JavaScript,7.0,Web Development
48,SQL,8.0,Database Management
48,Git,9.0,Version Control
48,HTML,7.0,Web Development
49,Python,5.0,Programming Languages
49,JavaScript,8.0,Web Development
49,SQL,5.0,Database Management
49,Git,9.0,Version Control
49,HTML,7.0,Web Development
50,Python,9.0,Programming Languages
50,JavaScript,8.0,Web Development
50,SQL,6.0,Database Management
50,Git,7.0,Version Control
50,HTML,8.0,Web Development
